source_id,ra,dec,phot_g_mean_mag,parallax,teff_gspphot,mh_gspphot
3602856788247426944,180.2509632160444,-0.30491246660717336,20.108112,0.6114288374473855,,
3602858673737253760,180.12981561269035,-0.293542556941785,19.727365,-0.22593802584158598,,
3602859464011241728,180.09180110556483,-0.27473932083010955,20.995895,,,
3602859708825184512,180.05120149571243,-0.25991765510517667,21.109524,,,
3602859777544623616,180.08035067858762,-0.24937567248438122,19.778177,1.4138427487972058,,
3602861181998174208,180.15857230774458,-0.2268319717533039,19.555258,-0.20499391570022774,,
3602861250717653504,180.15809227883992,-0.2146583233874603,19.03784,0.7875407560083172,,
3602864033857213824,179.80487519139473,-0.3398499579716099,20.819775,,,
3602865133367631232,179.94197818838484,-0.30874826334181626,18.273342,0.05414715624466088,5155.4087,-1.6844
3602865751842925696,179.83308856978692,-0.2959701924366377,20.101202,0.4773119290596412,,
3602866542116890752,179.73891914766864,-0.3553081313887005,21.547495,,,
3602866821290945152,179.72119611247797,-0.33276052758359737,13.564957,1.6315826804193128,5721.824,-0.233
3602867435471195520,179.75417062197465,-0.294458017038783,20.683598,3.6288529162419105,,
3602868436198626176,179.71698831971182,-0.2721955810089341,15.7840805,0.7129618590231546,5442.433,-0.8179
3602868569342521216,179.73258165990265,-0.25692369410515453,20.799612,-2.9627451623239422,,
3602869497055824768,179.88928363253527,-0.21389718720268497,20.964514,,,
3602869707508973312,179.87990297286987,-0.20212917026157773,18.375727,1.4546202127880907,3555.793,-0.5647
3602870051106355968,179.80969184261238,-0.2163934543803097,14.405975,0.45442391449087866,5828.7754,-0.1186
3602870562206318720,179.8297885322554,-0.18412442032087212,18.006428,1.1523902200831002,3578.3755,-1.349
3602870807019567232,179.82999464719114,-0.16683899495810872,20.560026,1.7248705330184566,,
3602872795589752320,180.02742575585722,-0.17846070695289856,20.521252,,,
3602874449153238528,180.0677217513569,-0.14369310587058967,20.403078,,,
3602874964548987776,180.10181779659254,-0.10619341948945193,17.39455,0.9673011911218142,4049.7332,-0.2653
3602875544368382848,179.93981176494918,-0.180299487152646,19.554197,0.49585054703736153,,
3602875892260533504,179.9726574218267,-0.16799507578225267,20.093412,6.528403718737871,,
3602876128484035968,179.94084950525794,-0.15548012159412916,20.864542,,,
3602877124916356608,179.94250726639495,-0.10681474701415318,16.555061,1.224892022777908,4453.688,0.0655
3602878469242366720,180.04501153679752,-0.05879077714194754,21.428673,,,
3602878533666072832,180.0259144363785,-0.05818038115976204,19.59899,0.5772343667033979,,
3602878705464323712,179.95442065168712,-0.07841868042322434,20.770239,6.404947095671533,,
3602879362595459456,180.00966847037105,-0.03769150399468689,14.690726,1.1748061550420534,5119.405,-0.2735
3698933419953199488,180.33413616018206,-0.25446645290583986,20.951807,,,
3698933694831106560,180.38572871863676,-0.2334747551142131,20.318727,0.46283439834409107,,
3698934480808056064,180.27012701814272,-0.22498885838365998,20.013372,0.6945594826111714,,
3698935305441793664,180.43420633720788,-0.20483221678593988,21.36715,,,
3698935515897281152,180.41891637918047,-0.19826129979955942,21.403234,,,
3698935722055647488,180.43535054816726,-0.1705780790298339,20.998085,,,
3698936581048742144,180.42056040206296,-0.1372322582662518,15.186373,0.07966700098631142,7119.9443,-0.5213
3698937263946980096,180.41781734821188,-0.10092770672539848,20.114902,-0.17749512830221756,,
3698937298306721536,180.43586020561108,-0.09821488257119738,20.590157,0.5094373067195679,,
3698937886718795392,180.2775810718512,-0.1687984699631075,21.217821,,,
3698939531689722752,180.26905791187764,-0.08898387074489783,20.43287,1.196300893093407,,
3698940704217348992,180.38882610420796,-0.04518867620040358,17.854988,1.524028865809874,3630.0308,-0.18
3698941180958031744,180.31905912140095,-0.05047478482537907,20.760286,,,
3698943349917566464,180.4764662575024,-0.0676355394586866,20.664997,,,
3698946506716652288,180.41912010711246,-0.04509561479406672,19.98677,1.413345623347966,,
3698946751531303680,180.44345090631043,-0.009389312176026388,17.428757,0.6695198389894553,4431.954,-0.099
3698950050066191488,180.48710972936772,0.10197578157804224,7.7141395,10.687081224093198,7071.424,-0.6846
3698951282720990976,180.22897046223972,-0.08435821197885005,20.870552,,,
3698951596252606464,180.2166540658013,-0.07063085744468693,20.848028,,,
3698953039363808512,180.27134406907285,-0.034772308387086795,21.058218,,,
3698953348601044864,180.26650947072432,-0.013057072499763072,12.536609,1.7063235918225292,6030.106,-0.0679
3698954654271104768,180.29018407853746,0.040033593459232075,16.846811,0.3548792304338844,6108.0356,-1.4881
